,Number of Rooms,Distance,Number of Bedroom,Bathroom,YearBuilt,"Price in $1,000,000"
15639,1,5.1,1.0,1.0,1888.0,0.31
15645,3,45.9,3.0,1.0,1930.0,0.54
15648,5,12.9,5.0,2.0,1975.0,0.691
15655,2,7.3,2.0,1.0,1928.0,1.65
15669,3,16.7,3.0,2.0,2002.0,0.655
15670,3,16.7,3.0,2.0,1980.0,1.55
15672,3,11.2,3.0,1.0,1960.0,0.78
15673,2,11.2,2.0,1.0,1980.0,0.422
15676,4,11.2,4.0,1.0,1960.0,0.78
15677,4,12.9,4.0,2.0,2000.0,0.945
15681,4,20.4,3.0,2.0,2000.0,0.645
15685,3,32.3,3.0,2.0,1995.0,0.601
15687,3,13.8,3.0,2.0,2005.0,0.97
15690,3,13.8,3.0,1.0,1934.0,2.12
15692,3,13.8,3.0,2.0,1990.0,2.1
15694,2,5.3,2.0,1.0,1970.0,0.762
15697,1,5.3,1.0,1.0,1970.0,0.375
15699,2,5.3,2.0,2.0,2000.0,1.08
15700,3,6.2,3.0,1.0,1920.0,2.225
15709,4,8.9,4.0,2.0,2000.0,0.828
15711,4,8.9,4.0,1.0,1950.0,1.23
15712,3,8.8,3.0,1.0,1950.0,0.59
15721,2,16.0,2.0,1.0,1970.0,0.548
15727,4,12.3,4.0,1.0,1960.0,1.145
15734,3,15.5,3.0,1.0,1978.0,0.55
15741,2,3.4,2.0,2.0,2010.0,0.73
15742,1,3.4,1.0,1.0,2001.0,0.392
15743,2,3.4,2.0,1.0,1890.0,1.15
15744,4,3.4,4.0,2.0,1982.0,1.415
15745,1,3.4,1.0,1.0,2011.0,0.37
15758,3,16.3,3.0,1.0,1965.0,0.638
15761,2,41.0,2.0,1.0,2012.0,0.4
15764,2,6.4,2.0,1.0,2014.0,0.5055
15770,1,4.3,1.0,1.0,1972.0,0.301
15774,2,0.0,2.0,1.0,1999.0,0.74
15777,4,31.7,4.0,2.0,2004.0,0.42
15780,3,20.0,3.0,2.0,1980.0,1.051
15784,2,20.0,2.0,1.0,1990.0,0.66
15786,2,20.0,2.0,1.0,1970.0,0.455
15792,4,17.9,4.0,2.0,2013.0,0.865
15793,4,17.2,4.0,1.0,1950.0,1.302
15794,3,17.2,3.0,2.0,2010.0,0.8
15799,3,6.2,3.0,2.0,1950.0,1.85
15802,1,6.2,1.0,1.0,2012.0,0.222
15808,3,26.5,3.0,1.0,1970.0,0.581
15811,4,21.5,4.0,2.0,1995.0,1.35
15812,4,21.5,4.0,2.0,2004.0,1.15
15813,2,21.5,2.0,1.0,1970.0,0.4705
15820,4,14.2,4.0,3.0,1960.0,1.352
15822,3,14.2,3.0,1.0,1970.0,1.53
15824,4,14.2,4.0,3.0,1960.0,1.728
15830,4,18.8,4.0,2.0,1960.0,0.902
15831,3,10.1,3.0,2.0,1998.0,0.9
15834,3,10.1,3.0,1.0,1930.0,1.561
15836,3,10.4,3.0,1.0,1950.0,1.3
15850,3,5.3,3.0,1.0,1999.0,1.305
15852,2,5.3,2.0,1.0,1970.0,0.503
15855,3,16.7,3.0,1.0,1970.0,0.84
15860,5,15.4,5.0,3.0,1970.0,1.06
15862,3,11.2,3.0,1.0,1960.0,0.84
15864,4,11.2,4.0,2.0,2001.0,1.071888
15865,2,11.2,2.0,2.0,2010.0,0.79
15866,3,12.3,3.0,2.0,2013.0,0.82
15867,3,15.5,3.0,1.0,1950.0,1.2185
15870,2,11.4,2.0,1.0,1970.0,0.695
15871,3,21.5,3.0,2.0,1950.0,0.94
15872,4,21.5,4.0,2.0,1970.0,1.3
15879,3,8.5,3.0,2.0,1950.0,1.199
15886,3,3.5,3.0,2.0,2015.0,1.388
15891,1,4.6,1.0,1.0,2015.0,0.44
15892,3,4.6,3.0,2.0,2000.0,2.2
15894,4,4.6,4.0,2.0,1890.0,2.3
15899,4,8.4,4.0,1.0,1950.0,0.84
15902,3,12.0,3.0,1.0,2009.0,0.51
15907,3,12.0,3.0,1.0,1940.0,0.78
15911,3,2.4,3.0,2.0,2008.0,1.255
15912,2,2.4,2.0,1.0,1890.0,1.275
15914,3,2.4,3.0,2.0,2007.0,1.12
15916,3,2.4,3.0,2.0,1997.0,1.19
15917,1,2.4,1.0,1.0,2003.0,0.534
15918,3,2.4,3.0,3.0,2000.0,1.425
15919,2,2.4,2.0,2.0,2011.0,0.65
15921,2,19.9,2.0,1.0,1975.0,0.475
15927,4,21.3,4.0,2.0,1960.0,1.175
15930,3,19.9,3.0,2.0,1997.0,0.755
15932,2,19.9,2.0,1.0,1996.0,0.602
15936,4,23.5,4.0,2.0,2003.0,1.0058
15946,4,34.7,4.0,2.0,2002.0,0.555698
15947,3,1.9,3.0,2.0,2001.0,1.25
15950,1,1.9,1.0,1.0,2000.0,0.4075
15957,2,0.7,2.0,1.0,1994.0,0.6425
15958,1,0.7,1.0,1.0,2012.0,0.4225
15960,3,14.0,3.0,1.0,2000.0,0.46
15962,3,14.0,3.0,1.0,1960.0,0.61
15967,3,14.0,3.0,1.0,1992.0,0.5
15968,2,5.0,2.0,1.0,1920.0,0.615
15971,3,31.7,3.0,1.0,1990.0,0.455
15973,4,10.5,4.0,2.0,2007.0,0.66
15974,3,10.5,3.0,1.0,1970.0,0.81
15975,3,10.5,3.0,1.0,1965.0,0.805
15978,3,10.5,3.0,1.0,2006.0,0.453
15980,2,10.2,2.0,1.0,1960.0,0.807
15985,3,18.0,3.0,2.0,2000.0,0.471
15988,3,18.0,3.0,2.0,2008.0,0.558
15989,5,15.5,5.0,2.0,1996.0,0.78
15994,3,12.4,3.0,2.0,1965.0,1.24
15996,2,7.0,2.0,1.0,2010.0,0.756
16001,3,7.0,3.0,1.0,1950.0,1.031
16009,4,17.2,4.0,2.0,1975.0,1.05
16011,3,8.9,3.0,2.0,1960.0,0.94
16014,3,14.5,3.0,2.0,1997.0,0.835
16019,3,14.7,3.0,2.0,1970.0,0.83
16030,3,3.0,3.0,2.0,2004.0,0.855
16032,3,10.4,3.0,2.0,2012.0,0.7375
16035,3,10.4,3.0,1.0,1965.0,0.905
16038,2,3.0,2.0,1.0,1930.0,0.685
16042,1,5.7,1.0,1.0,1970.0,0.33
16051,3,4.3,3.0,2.0,1990.0,1.01
16054,3,4.3,3.0,1.0,1900.0,0.99
16061,4,9.5,4.0,2.0,2004.0,0.773
16071,2,9.7,2.0,1.0,1970.0,0.682
16079,4,39.8,4.0,2.0,1960.0,0.675
16087,4,13.8,4.0,3.0,1960.0,1.815
16089,3,13.8,3.0,1.0,1950.0,1.225
16091,3,35.2,3.0,2.0,1980.0,0.69
16092,3,13.4,3.0,1.0,1960.0,0.88
16099,3,13.4,3.0,1.0,1960.0,1.264
16103,2,8.6,2.0,1.0,1950.0,0.57
16114,3,10.3,3.0,1.0,1940.0,1.3
16117,3,5.2,3.0,1.0,1900.0,1.275
16121,3,5.2,3.0,1.0,1890.0,1.204
16125,4,5.2,4.0,2.0,1950.0,1.268
16126,3,5.2,3.0,1.0,1950.0,1.445
16147,3,1.6,3.0,1.0,1910.0,1.0
16156,5,14.8,5.0,5.0,2006.0,1.15
16162,4,8.7,4.0,2.0,1925.0,1.7
16164,4,27.0,4.0,2.0,1985.0,0.732
16165,3,17.9,3.0,1.0,1970.0,0.8
16166,3,17.9,3.0,1.0,1965.0,0.877
16167,4,17.9,4.0,2.0,1960.0,1.255
16168,3,17.9,3.0,1.0,1965.0,0.9
16174,3,16.7,3.0,2.0,2000.0,0.78
16179,4,6.7,4.0,2.0,2002.0,1.02
16181,2,6.7,2.0,1.0,1930.0,0.996
16185,2,2.0,2.0,1.0,1900.0,1.095
16192,4,20.6,4.0,2.0,2009.0,0.492
16193,3,20.6,3.0,2.0,2008.0,0.425
16202,4,23.0,4.0,3.0,1970.0,0.86
16212,3,14.8,3.0,1.0,1990.0,0.645
16216,3,22.2,3.0,2.0,1980.0,0.801
16217,5,22.2,5.0,3.0,1975.0,0.955
16233,3,18.0,3.0,1.0,1985.0,0.9675
16234,4,18.0,4.0,2.0,1980.0,0.89
16235,3,7.2,3.0,2.0,2010.0,1.8
16237,2,7.5,2.0,1.0,1937.0,1.2
16238,2,7.5,2.0,2.0,2013.0,0.72
16239,2,7.5,2.0,1.0,1965.0,0.41
16240,3,7.5,3.0,2.0,2002.0,0.93
16246,3,13.1,3.0,1.0,1960.0,0.65
16247,2,2.1,2.0,1.0,2007.0,0.7
16251,4,3.4,4.0,2.0,1928.0,1.34
16256,3,15.4,3.0,1.0,1960.0,0.8
16260,3,38.0,3.0,1.0,1960.0,0.57
16293,3,11.2,3.0,1.0,2003.0,0.512
16295,5,16.1,5.0,3.0,1960.0,1.05
16297,3,16.1,3.0,2.0,1954.0,0.895
16299,5,16.1,4.0,3.0,1980.0,0.88
16300,4,16.1,4.0,2.0,1980.0,0.925
16302,4,20.4,4.0,2.0,2011.0,0.715
16303,4,20.4,4.0,2.0,2014.0,0.8405
16305,4,13.8,4.0,2.0,1950.0,1.6
16308,2,13.8,2.0,1.0,1992.0,1.285
16309,2,13.8,2.0,1.0,2007.0,0.685
16310,2,13.8,2.0,1.0,1967.0,0.878
16311,3,13.8,3.0,2.0,1994.0,0.957
16315,3,5.3,3.0,2.0,2000.0,1.236
16319,4,5.3,4.0,3.0,1970.0,2.01
16323,2,5.3,2.0,1.0,1910.0,1.682
16331,3,8.9,3.0,2.0,2000.0,0.781
16339,3,18.0,3.0,2.0,2002.0,0.66
16345,3,7.8,3.0,2.0,1997.0,0.975
16349,4,15.5,4.0,2.0,1982.0,0.67
16353,3,15.5,3.0,1.0,1990.0,0.575
16358,2,3.4,2.0,2.0,2015.0,0.876
16363,2,5.4,2.0,1.0,1960.0,0.797
16371,3,16.3,3.0,1.0,1985.0,0.56
16372,2,16.3,2.0,1.0,1960.0,0.5115
16385,3,8.4,3.0,1.0,1930.0,1.69
16389,3,4.3,3.0,2.0,1990.0,0.815
16394,3,17.4,3.0,1.0,1975.0,0.467
16395,4,31.7,4.0,2.0,1970.0,0.405
16398,3,29.8,3.0,1.0,1980.0,0.465
16403,2,17.9,2.0,1.0,2005.0,0.428
16406,4,17.9,4.0,2.0,2001.0,0.7225
16407,2,17.9,2.0,1.0,1985.0,0.421
16415,1,6.2,1.0,1.0,1970.0,0.286
16421,4,21.5,4.0,2.0,1975.0,0.92
16423,3,31.6,3.0,1.0,1930.0,0.62
16424,3,14.2,3.0,1.0,1196.0,1.2
16432,3,18.8,3.0,1.0,1965.0,0.865
16437,4,10.1,4.0,1.0,1920.0,1.92
16441,3,6.2,3.0,1.0,1900.0,1.23
16442,3,6.2,3.0,1.0,1940.0,1.22
16444,3,22.7,3.0,1.0,1960.0,0.66
16446,2,1.8,2.0,2.0,2011.0,0.57
16448,5,21.1,5.0,3.0,1980.0,1.55
16453,3,5.3,3.0,1.0,1910.0,1.35
16456,4,15.4,4.0,2.0,1970.0,1.075
16460,4,11.2,4.0,2.0,2001.0,1.071888
16461,2,11.2,2.0,1.0,2014.0,0.56
16463,5,12.3,5.0,2.0,1935.0,1.75
16465,3,12.3,3.0,1.0,1960.0,1.21
16476,4,21.5,4.0,2.0,1970.0,1.3
16477,3,21.5,3.0,2.0,2007.0,1.4
16481,2,8.5,2.0,1.0,1940.0,0.74
16484,2,3.5,2.0,1.0,2000.0,0.816
16485,3,3.5,3.0,1.0,2008.0,0.8
16486,2,4.6,2.0,1.0,1920.0,1.02
16488,2,4.6,2.0,2.0,1970.0,0.66
16489,3,8.4,3.0,2.0,1940.0,1.242
16492,2,8.4,2.0,2.0,1940.0,0.66
16494,5,8.4,5.0,3.0,2014.0,1.35
16496,3,8.4,3.0,3.0,2008.0,1.02
16501,5,12.0,5.0,3.0,1960.0,0.912
16504,3,12.0,3.0,1.0,1960.0,0.685
16505,1,12.0,1.0,1.0,1980.0,0.27
16508,3,12.0,3.0,1.0,1950.0,0.911
16512,2,2.4,2.0,2.0,1940.0,0.8905
16514,1,2.4,1.0,1.0,1970.0,0.355
16517,3,2.4,3.0,1.0,1900.0,1.53
16518,4,47.4,4.0,2.0,2011.0,0.817
16522,3,19.9,3.0,2.0,1980.0,1.085
16523,3,19.9,3.0,1.0,1955.0,0.75
16525,4,23.5,4.0,2.0,1985.0,0.86
16528,4,34.7,4.0,2.0,2010.0,0.645
16529,4,15.2,4.0,2.0,1998.0,1.77
16530,5,15.2,5.0,3.0,1980.0,2.25
16538,3,5.1,3.0,1.0,1920.0,1.085
16546,2,2.7,2.0,1.0,1970.0,0.945
16574,4,10.5,4.0,2.0,1999.0,0.78
16580,5,10.2,5.0,3.0,1945.0,2.0
16584,4,15.5,4.0,2.0,2005.0,1.45
16585,4,15.5,4.0,3.0,1995.0,1.86
16593,3,15.3,3.0,1.0,1980.0,0.46
16594,3,15.3,3.0,1.0,1970.0,0.651
16595,3,15.3,3.0,1.0,1950.0,0.831
16596,3,7.0,3.0,1.0,1960.0,1.25
16603,3,4.1,3.0,1.0,1970.0,0.64
16606,2,4.3,2.0,1.0,1996.0,0.856
16608,4,17.2,4.0,2.0,1960.0,1.235
16612,4,17.2,4.0,2.0,2003.0,1.29
16618,4,14.7,4.0,2.0,1980.0,1.0
16622,6,14.7,6.0,2.0,2001.0,1.18
16631,2,4.6,2.0,1.0,1892.0,0.9575
16632,3,4.6,3.0,2.0,1905.0,2.08
16634,3,12.7,3.0,2.0,1990.0,0.852
16637,2,3.0,2.0,1.0,1970.0,0.505
16638,3,3.0,3.0,1.0,1960.0,1.4025
16640,2,10.4,2.0,1.0,1950.0,0.65
16641,3,10.4,3.0,2.0,2011.0,0.856
16642,3,3.0,3.0,1.0,1890.0,1.505
16645,3,10.5,3.0,2.0,2013.0,0.6
16647,3,11.0,3.0,1.0,1960.0,1.005
16649,2,6.3,2.0,1.0,1967.0,0.41
16652,3,6.3,3.0,2.0,1952.0,1.85
16654,3,4.3,3.0,2.0,1915.0,1.53
16655,3,4.3,3.0,1.0,1910.0,0.865
16657,3,4.3,3.0,2.0,2000.0,1.082
16666,4,9.5,4.0,2.0,1960.0,0.835
16668,2,7.9,2.0,1.0,1975.0,0.725
16669,2,7.9,2.0,1.0,1960.0,0.602
16670,2,7.9,2.0,2.0,2007.0,0.83
16671,3,9.7,3.0,2.0,1985.0,1.3
16672,3,9.7,3.0,2.0,2001.0,1.33
16673,4,9.7,4.0,3.0,2006.0,2.05
16674,5,9.7,5.0,2.0,1940.0,1.94
16675,3,9.7,3.0,1.0,1955.0,1.59
16676,2,9.7,2.0,1.0,1970.0,0.725
16681,4,23.2,4.0,2.0,1975.0,0.705
16683,4,17.3,4.0,3.0,2014.0,2.2
16687,2,11.4,2.0,1.0,1970.0,0.42
16688,4,11.4,4.0,2.0,1920.0,1.479
16691,4,11.4,4.0,3.0,1950.0,1.35
16696,4,13.8,4.0,2.0,2003.0,1.655
16698,3,13.8,3.0,2.0,1950.0,1.43
16702,4,35.2,4.0,2.0,1977.0,0.667
16704,4,35.2,4.0,2.0,2004.0,0.74
16705,3,17.3,3.0,2.0,1980.0,1.08
16723,3,10.3,3.0,4.0,2012.0,1.7508
16727,4,10.3,4.0,1.0,1948.0,1.605
16728,2,10.3,2.0,1.0,1985.0,1.035
16729,3,14.0,3.0,1.0,2000.0,0.505
16732,3,6.4,3.0,2.0,2010.0,0.663
16733,2,5.2,2.0,1.0,1890.0,0.86
16739,3,5.2,3.0,2.0,1920.0,1.405
16740,2,5.2,2.0,1.0,1970.0,0.46
16741,4,4.0,4.0,2.0,1920.0,1.21
16744,2,5.2,2.0,1.0,1970.0,0.46
16745,1,5.2,1.0,1.0,1975.0,0.2631
16746,5,5.2,5.0,1.0,1940.0,1.075
16747,4,10.8,4.0,2.0,2011.0,0.95
16749,1,10.8,1.0,1.0,1999.0,1.31
16752,4,12.1,4.0,2.0,2004.0,0.88
16758,3,2.4,3.0,2.0,2014.0,1.8375
16759,3,14.8,4.0,2.0,2007.0,0.593
16765,7,10.4,7.0,4.0,1950.0,1.642
16768,3,14.7,3.0,2.0,1999.0,0.78
16776,3,7.7,3.0,2.0,1997.0,1.29
16777,3,8.4,3.0,2.0,1910.0,1.93
16781,2,1.6,2.0,2.0,2008.0,1.1
16785,3,10.1,3.0,2.0,2008.0,1.042
16786,3,10.1,3.0,2.0,1940.0,1.45
16790,4,34.9,4.0,2.0,2010.0,0.525
16793,2,8.4,2.0,1.0,1960.0,0.3
16794,2,7.8,2.0,1.0,1900.0,1.4175
16796,2,11.7,2.0,1.0,1970.0,0.51
16805,2,17.9,2.0,1.0,1972.0,0.601
16808,3,17.9,3.0,1.0,1950.0,1.145
16810,4,27.1,4.0,2.0,1996.0,0.911982
16812,4,16.7,4.0,2.0,1970.0,1.04
16814,3,17.5,3.0,2.0,2006.0,0.7
16816,3,3.6,3.0,1.0,1900.0,1.46
16817,2,3.6,2.0,1.0,1968.0,0.556
16822,3,6.7,3.0,2.0,1960.0,0.865
16826,2,2.0,2.0,1.0,1880.0,1.135
16827,2,2.0,2.0,1.0,1890.0,0.9
16830,3,20.6,3.0,2.0,1990.0,0.499
16832,6,20.6,6.0,2.0,1997.0,0.506
16833,3,20.6,3.0,2.0,2010.0,0.43
16836,3,20.6,3.0,2.0,2010.0,0.42
16838,2,2.4,2.0,2.0,2007.0,0.57
16839,2,2.4,2.0,1.0,1900.0,1.253
16843,3,23.0,3.0,1.0,1960.0,0.637
16846,4,23.0,4.0,2.0,1985.0,0.905
16847,4,23.0,4.0,1.0,1950.0,0.835
16855,4,14.7,4.0,2.0,2010.0,0.61
16857,4,22.2,4.0,2.0,2004.0,1.255
16858,2,22.2,2.0,1.0,1980.0,0.595
16864,3,14.3,3.0,2.0,2010.0,0.871
16866,3,14.3,3.0,2.0,1960.0,1.451
16867,3,14.3,3.0,2.0,1966.0,1.385
16868,3,14.3,3.0,2.0,2007.0,1.36
16877,6,27.0,6.0,4.0,2011.0,1.85
16878,2,27.0,2.0,1.0,1975.0,0.6125
16882,6,18.0,6.0,3.0,1980.0,0.855
16883,3,18.0,3.0,1.0,1985.0,0.855
16885,4,18.0,4.0,3.0,1995.0,0.895
16887,2,7.2,2.0,1.0,1940.0,0.902
16888,2,7.2,2.0,1.0,1930.0,1.41
16890,3,7.2,3.0,2.0,1997.0,1.36
16891,3,19.6,3.0,2.0,1975.0,0.5
16892,3,19.6,3.0,2.0,1990.0,0.573
16893,3,19.6,3.0,2.0,2013.0,0.3805
16896,3,19.6,3.0,2.0,2005.0,0.465
16897,4,19.6,4.0,2.0,1985.0,0.545
16900,2,7.5,2.0,1.0,1950.0,1.98
16901,3,7.5,3.0,2.0,2011.0,0.83
16903,3,7.5,3.0,2.0,2007.0,0.886
16905,1,7.5,1.0,1.0,1970.0,0.28
16908,2,8.2,2.0,1.0,1970.0,0.445
16910,3,7.5,3.0,3.0,1940.0,1.05
16913,4,13.1,4.0,2.0,1960.0,0.8
16916,2,13.1,2.0,1.0,1960.0,0.786
16917,3,13.1,3.0,1.0,2003.0,0.577
16919,2,24.8,2.0,2.0,2011.0,0.617
16927,2,3.4,2.0,1.0,1900.0,0.99
16930,2,5.1,2.0,1.0,2010.0,0.455
16933,2,15.4,2.0,1.0,2001.0,0.68
16943,4,38.0,4.0,3.0,1890.0,1.4
16948,3,12.9,3.0,1.0,1975.0,0.755
16949,4,12.9,4.0,2.0,1980.0,0.635
16950,2,7.3,2.0,1.0,1875.0,0.762
16956,3,7.3,3.0,2.0,1995.0,1.501
16968,4,16.7,4.0,2.0,1961.0,1.1
16969,3,16.7,3.0,2.0,1980.0,1.135
16971,3,11.2,3.0,1.0,1960.0,0.865
16972,1,11.2,1.0,1.0,1980.0,0.3625
16974,3,11.2,3.0,1.0,1960.0,0.922
16977,3,11.2,3.0,2.0,1960.0,0.9635
16979,3,16.1,3.0,1.0,1962.0,0.74
16983,5,20.4,5.0,2.0,1980.0,0.75
16986,4,20.4,4.0,2.0,2004.0,0.73
16987,3,20.4,3.0,2.0,1985.0,0.77
16989,3,20.4,3.0,2.0,2013.0,0.55
17005,3,5.3,3.0,1.0,1890.0,1.955
17006,3,5.3,3.0,1.0,1900.0,1.702
17015,2,6.2,2.0,1.0,1970.0,0.8025
17017,1,6.2,1.0,1.0,1960.0,0.441
17019,2,6.2,2.0,1.0,1970.0,0.5
17021,2,8.9,2.0,1.0,1985.0,0.738
17024,3,8.8,3.0,1.0,1945.0,0.8
17025,2,8.8,2.0,1.0,2013.0,0.68
17029,3,8.8,3.0,1.0,1960.0,0.605
17030,3,8.8,3.0,1.0,1950.0,0.58
17035,3,16.0,3.0,2.0,1960.0,1.6
17037,4,18.0,4.0,2.0,1999.0,0.677
17040,4,18.0,4.0,2.0,2004.0,0.7375
17041,3,18.4,3.0,2.0,1999.0,0.52
17042,3,18.4,3.0,2.0,1974.0,0.5531
17044,3,18.4,3.0,1.0,1995.0,0.505
17046,4,18.4,4.0,2.0,1990.0,0.68
17048,3,18.4,3.0,1.0,1980.0,0.4425
17053,3,12.3,3.0,2.0,2000.0,1.2035
17056,3,7.8,3.0,1.0,1950.0,1.475
17057,3,7.8,3.0,1.0,1930.0,1.64
17058,3,14.0,3.0,1.0,1960.0,0.5905
17059,3,14.5,3.0,1.0,1965.0,0.895
17062,4,15.5,4.0,2.0,1980.0,0.79
17063,3,11.7,3.0,1.0,1965.0,0.825
17067,1,3.4,1.0,1.0,2008.0,0.4
17068,1,3.4,1.0,1.0,2006.0,0.715
17070,3,5.4,3.0,1.0,1920.0,1.3
17078,2,5.4,2.0,1.0,1995.0,0.825
17082,4,7.3,4.0,1.0,1910.0,2.258
17086,4,25.2,4.0,2.0,2005.0,1.25
17087,5,14.0,5.0,2.0,1972.0,0.52
17089,4,23.3,4.0,2.0,1994.0,1.218
17094,3,16.3,3.0,2.0,1980.0,0.6
17095,3,16.3,3.0,1.0,1970.0,0.487
17097,3,16.3,3.0,1.0,1975.0,0.572
17098,2,14.6,2.0,2.0,1995.0,0.65
17105,3,5.9,3.0,2.0,1920.0,1.7
17108,3,8.4,3.0,1.0,1980.0,1.06
17112,2,4.3,2.0,1.0,1980.0,0.53
17113,2,4.3,2.0,1.0,1940.0,0.45
17116,2,4.3,2.0,1.0,2000.0,0.353
17117,2,11.4,2.0,1.0,1920.0,1.25
17120,2,0.0,2.0,1.0,1976.0,0.72
17122,3,31.7,3.0,1.0,1975.0,0.295
17123,4,29.8,4.0,2.0,1990.0,0.3475
17124,3,31.7,3.0,2.0,1985.0,0.41
17126,5,20.0,5.0,2.0,1975.0,1.485
17129,3,3.0,3.0,2.0,1885.0,1.75
17136,5,17.9,5.0,2.0,1970.0,0.725
17139,2,17.2,2.0,1.0,2011.0,0.695
17140,2,17.2,2.0,1.0,1975.0,0.655
17141,3,17.2,3.0,1.0,1975.0,0.775
17142,3,17.2,3.0,1.0,1960.0,0.82
17144,2,17.2,2.0,1.0,1960.0,0.883
17145,4,10.2,4.0,2.0,1910.0,1.462
17147,3,16.2,3.0,2.0,2003.0,0.96
17149,3,16.2,3.0,1.0,1980.0,0.9
17150,3,16.2,3.0,1.0,1955.0,0.806
17153,4,16.2,4.0,3.0,1993.0,0.98
17167,4,10.1,4.0,2.0,1920.0,1.54
17168,1,10.1,1.0,1.0,2000.0,0.47
17176,3,22.7,3.0,1.0,1963.0,0.73
17177,3,22.7,3.0,1.0,1960.0,0.676
17179,4,22.7,4.0,2.0,1980.0,0.805
17181,2,1.8,2.0,1.0,1910.0,1.126
17183,2,1.8,2.0,1.0,1900.0,0.799
17184,3,1.8,3.0,1.0,1990.0,1.285
17186,3,5.3,3.0,1.0,1905.0,1.512
17191,2,5.3,2.0,1.0,1900.0,1.26
17196,3,15.4,3.0,2.0,2014.0,0.777
17198,2,12.3,2.0,1.0,1940.0,1.225
17201,4,12.3,4.0,2.0,1997.0,0.912
17205,4,11.4,4.0,3.0,1920.0,1.565
17208,2,21.5,2.0,1.0,1940.0,1.27
17209,5,21.5,5.0,2.0,1940.0,1.485
17210,4,21.5,4.0,2.0,1980.0,1.1375
17212,3,21.5,3.0,1.0,1950.0,1.415
17217,3,8.5,3.0,1.0,1960.0,0.876
17220,3,8.5,3.0,1.0,1950.0,0.736
17221,3,8.5,3.0,1.0,1993.0,0.755
17223,2,8.5,2.0,1.0,1960.0,0.478
17226,2,3.5,2.0,1.0,1880.0,1.335
17232,1,3.5,1.0,1.0,2000.0,0.545
17234,2,4.6,2.0,1.0,1940.0,0.74
17236,2,4.6,2.0,1.0,1900.0,0.698
17239,2,4.6,2.0,1.0,1900.0,0.78
17243,3,8.4,3.0,1.0,1950.0,0.92
17244,3,8.4,3.0,1.0,1960.0,1.115
17245,3,8.4,3.0,2.0,2012.0,0.55
17246,3,8.4,3.0,1.0,1930.0,1.171
17247,5,8.4,5.0,2.0,1940.0,1.06
17249,2,8.4,2.0,1.0,1985.0,0.6175
17251,2,12.0,2.0,2.0,2015.0,0.575
17256,3,12.0,3.0,2.0,2009.0,0.635
17257,2,12.0,2.0,1.0,2007.0,0.47
17259,3,12.0,3.0,1.0,1950.0,0.86
17263,2,2.4,2.0,2.0,2005.0,0.615
17264,1,2.4,1.0,1.0,1970.0,0.314
17265,2,2.4,2.0,1.0,1890.0,1.341
17269,2,21.3,2.0,1.0,1970.0,0.609
17273,3,8.9,3.0,2.0,1985.0,1.1
17276,4,20.6,4.0,2.0,2006.0,0.5
17283,2,15.2,2.0,1.0,1970.0,0.76
17284,4,15.2,4.0,2.0,1945.0,2.1
17288,4,35.4,4.0,2.0,1960.0,0.795
17289,3,5.1,4.0,3.0,1950.0,1.315
17290,2,5.1,2.0,1.0,1910.0,0.83
17292,2,5.1,2.0,1.0,1910.0,0.94
17296,1,1.9,1.0,1.0,1900.0,0.8075
17302,3,2.7,3.0,3.0,1996.0,1.43
17304,1,2.7,1.0,1.0,1950.0,0.4
17309,2,0.7,2.0,1.0,1993.0,0.6
17320,5,16.1,5.0,3.0,2005.0,1.387
17323,1,5.0,1.0,1.0,1930.0,0.48
17328,4,31.7,4.0,2.0,1970.0,0.535
17330,3,10.5,3.0,2.0,1940.0,1.07
17332,6,10.5,6.0,2.0,1955.0,0.75
17333,3,10.5,3.0,1.0,1950.0,0.632
17339,3,10.2,3.0,1.0,1910.0,1.785
17353,5,12.4,5.0,2.0,1980.0,1.225
17354,4,12.4,4.0,2.0,1950.0,1.375
17355,3,15.3,3.0,1.0,1975.0,0.705
17359,3,15.3,3.0,1.0,1952.0,0.74
17360,2,7.0,2.0,1.0,1975.0,0.745
17362,3,7.0,3.0,1.0,1920.0,1.225
17367,3,18.4,3.0,2.0,2008.0,0.39
17369,3,12.9,3.0,1.0,1980.0,0.695
17376,3,8.9,3.0,2.0,2000.0,0.87
17382,4,14.5,4.0,1.0,1960.0,0.71
17384,3,14.7,3.0,1.0,1960.0,0.57
17388,3,6.4,3.0,1.0,1995.0,0.597
17390,2,3.1,2.0,1.0,1993.0,0.66
17392,3,16.5,3.0,1.0,2012.0,0.5
17400,2,6.8,2.0,1.0,2000.0,0.88
17401,3,6.8,3.0,1.0,1940.0,0.862
17403,4,25.5,4.0,2.0,2012.0,0.595
17405,2,6.3,2.0,1.0,1970.0,0.7095
17410,3,10.4,3.0,1.0,2000.0,0.67
17425,3,9.5,3.0,1.0,1965.0,0.72
17426,3,9.5,3.0,3.0,2014.0,1.1075
17430,4,9.7,4.0,2.0,2007.0,1.575
17434,2,23.2,2.0,1.0,1975.0,0.52
17436,2,11.4,2.0,1.0,2011.0,0.38
17438,4,35.2,4.0,5.0,2014.0,0.92
17439,4,35.2,4.0,4.0,2007.0,0.95
17441,2,13.4,2.0,1.0,1960.0,0.485
17443,3,13.4,3.0,2.0,1970.0,1.291
17444,3,25.0,3.0,1.0,1970.0,0.775
17445,4,25.0,4.0,2.0,1975.0,0.82
17447,3,8.6,3.0,1.0,1960.0,0.797
